home_id,generation,predicted_at,actual_at,solar_predicted_w,solar_actual_w,load_predicted_va,load_actual_va,solar_physics_at_prediction_w,load_physics_at_prediction_va,soc_now_percent,soc_physics_pct,soc_coulomb_pct,cloud_cover_pct,ambient_temp_c,weather_condition
home_001,,2026-07-29T10:59:18+00:00,2026-07-29T11:04:03+00:00,96.2,131.548,92.25,2232.0,96.2,92.25,68.3,68.3,68.3,100.0,,Clouds
home_001,,2026-07-29T11:04:03+00:00,2026-07-29T11:05:52+00:00,131.55,131.433,114.02,3468.0,131.55,114.02,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:05:52+00:00,2026-07-29T11:06:01+00:00,131.49,127.576,148.21,3172.8,131.43,177.16,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:06:01+00:00,2026-07-29T11:06:07+00:00,130.47,140.203,152.47,3662.4,127.58,162.08,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:06:07+00:00,2026-07-29T11:06:12+00:00,132.89,124.351,160.89,3444.0,140.2,187.09,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:06:12+00:00,2026-07-29T11:06:17+00:00,131.12,136.037,164.02,3252.0,124.35,175.93,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:06:17+00:00,2026-07-29T11:06:23+00:00,132.02,125.446,164.42,3571.2,136.04,166.12,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:06:23+00:00,2026-07-29T11:06:27+00:00,130.84,128.967,167.56,3696.0,125.45,182.43,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:06:27+00:00,2026-07-29T11:06:32+00:00,130.61,139.482,170.05,3753.6,128.97,188.8,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:06:32+00:00,2026-07-29T11:06:37+00:00,131.65,130.441,173.38,3326.4,139.48,191.75,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:06:37+00:00,2026-07-29T11:06:42+00:00,131.54,140.026,172.96,2695.2,130.44,169.92,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:06:42+00:00,2026-07-29T11:06:47+00:00,132.17,129.2,166.13,2474.4,140.03,137.68,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:06:47+00:00,2026-07-29T11:06:52+00:00,131.91,138.754,160.65,3895.2,129.2,126.4,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:06:52+00:00,2026-07-29T11:06:57+00:00,132.46,137.19,169.21,3007.2,138.75,198.98,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:06:57+00:00,2026-07-29T11:07:02+00:00,132.43,125.604,165.49,2006.4,137.19,153.6,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:07:02+00:00,2026-07-29T11:07:07+00:00,133.07,131.32,159.27,2690.4,125.6,102.48,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:07:07+00:00,2026-07-29T11:07:12+00:00,133.9,127.672,134.01,1917.6,131.32,137.42,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:07:12+00:00,2026-07-29T11:07:17+00:00,133.76,139.017,153.48,2131.2,127.67,97.95,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:07:17+00:00,2026-07-29T11:07:22+00:00,129.76,134.509,123.12,3304.8,139.02,108.86,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:07:22+00:00,2026-07-29T11:07:27+00:00,130.01,130.243,166.59,2556.0,134.51,168.82,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:07:27+00:00,2026-07-29T11:07:32+00:00,134.39,127.88,145.08,3103.2,130.24,130.56,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:07:32+00:00,2026-07-29T11:07:37+00:00,133.88,134.364,160.85,1860.0,127.88,158.51,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:07:37+00:00,2026-07-29T11:07:49+00:00,129.97,128.656,143.53,2515.2,134.36,95.01,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:07:49+00:00,2026-07-29T11:07:50+00:00,133.86,129.579,133.78,3592.8,128.66,128.49,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:07:50+00:00,2026-07-29T11:07:52+00:00,133.6,136.51,138.26,1850.4,129.58,183.53,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:07:52+00:00,2026-07-29T11:07:57+00:00,129.94,130.143,138.99,3364.8,136.51,94.52,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:07:57+00:00,2026-07-29T11:08:02+00:00,134.01,127.143,123.27,3796.8,130.14,171.87,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:08:02+00:00,2026-07-29T11:08:07+00:00,133.54,138.941,134.63,1699.2,127.14,193.94,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:08:07+00:00,2026-07-29T11:08:12+00:00,129.59,130.433,149.96,3220.8,138.94,86.79,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:08:12+00:00,2026-07-29T11:08:17+00:00,133.13,132.758,105.25,2268.0,130.43,164.52,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:08:17+00:00,2026-07-29T11:08:22+00:00,133.11,136.843,130.19,1708.8,132.76,115.85,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:08:22+00:00,2026-07-29T11:08:27+00:00,129.67,131.688,129.67,2251.2,136.84,87.28,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:08:27+00:00,2026-07-29T11:08:32+00:00,133.25,133.114,102.06,1884.0,131.69,114.99,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:08:32+00:00,2026-07-29T11:08:37+00:00,132.78,129.314,150.59,2640.0,133.11,96.23,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:08:37+00:00,2026-07-29T11:08:42+00:00,132.55,127.697,111.87,1704.0,129.31,134.86,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:08:42+00:00,2026-07-29T11:08:47+00:00,132.21,132.138,116.81,1857.6,127.7,87.05,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:08:47+00:00,2026-07-29T11:08:52+00:00,132.7,141.402,85.79,3213.6,132.14,94.89,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:08:52+00:00,2026-07-29T11:08:57+00:00,130.34,129.405,154.51,1831.2,141.4,164.16,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:08:57+00:00,2026-07-29T11:09:02+00:00,132.8,135.461,111.1,3386.4,129.41,93.54,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:09:02+00:00,2026-07-29T11:09:07+00:00,129.78,135.642,144.38,3331.2,135.46,172.99,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:09:07+00:00,2026-07-29T11:09:12+00:00,130.07,130.853,124.0,3518.4,135.64,170.17,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:09:12+00:00,2026-07-29T11:09:17+00:00,134.42,128.381,159.49,3232.8,130.85,179.73,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:09:17+00:00,2026-07-29T11:09:23+00:00,133.05,135.605,120.15,1629.6,128.38,165.13,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:09:23+00:00,2026-07-29T11:09:27+00:00,130.28,134.945,146.77,1696.8,135.6,83.24,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:09:27+00:00,2026-07-29T11:09:32+00:00,130.76,140.54,122.2,3813.6,134.94,86.67,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:09:32+00:00,2026-07-29T11:09:37+00:00,130.1,136.382,162.1,1821.6,140.54,194.81,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:09:37+00:00,2026-07-29T11:09:42+00:00,132.71,133.209,147.65,1627.2,136.38,93.05,68.3,64.9,68.3,100.0,,Clouds
home_001,,2026-07-29T11:09:42+00:00,2026-07-29T11:09:47+00:00,132.33,136.118,147.47,2666.4,133.21,83.12,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:09:47+00:00,2026-07-29T11:09:52+00:00,132.06,140.022,128.1,1912.8,136.12,136.21,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:09:52+00:00,2026-07-29T11:09:57+00:00,131.28,129.282,129.03,3206.4,140.02,97.71,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:09:57+00:00,2026-07-29T11:10:02+00:00,134.13,131.661,95.88,2654.4,129.28,163.79,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:10:02+00:00,2026-07-29T11:10:07+00:00,132.22,128.318,127.66,3261.6,131.66,135.6,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:10:07+00:00,2026-07-29T11:10:12+00:00,134.27,128.527,115.36,1771.2,128.32,166.61,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:10:12+00:00,2026-07-29T11:10:17+00:00,132.07,127.301,115.64,2613.6,128.53,90.48,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:10:17+00:00,2026-07-29T11:10:23+00:00,133.73,132.858,104.74,2546.4,127.3,133.51,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:10:23+00:00,2026-07-29T11:10:27+00:00,131.84,135.163,148.69,3832.8,132.86,130.08,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:10:27+00:00,2026-07-29T11:10:32+00:00,133.59,133.416,168.75,2462.4,135.16,195.79,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:10:32+00:00,2026-07-29T11:10:37+00:00,132.06,135.163,143.86,2292.0,133.42,125.79,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:10:37+00:00,2026-07-29T11:10:42+00:00,133.27,127.697,156.97,2995.2,135.16,117.08,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:10:42+00:00,2026-07-29T11:10:47+00:00,131.7,133.042,109.72,2925.6,127.7,153.0,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:10:47+00:00,2026-07-29T11:10:52+00:00,132.2,137.151,118.62,1848.0,133.04,149.45,68.3,65.0,68.3,100.0,,Clouds
home_001,,2026-07-29T11:10:52+00:00,2026-07-29T11:10:57+00:00,132.62,134.614,135.77,3938.4,137.15,94.4,68.3,65.0,68.3,100.0,,Clouds
