time,home_id,forecast_for,load_next_h_w,solar_next_h_w,generation
2026-07-29T11:26:32+00:00,home_001,2026-07-29T12:26:32.993733+00:00,142.85,133.13,
2026-07-29T12:26:33+00:00,home_001,2026-07-29T13:26:32.880079+00:00,141.9,138.42,
2026-08-17T11:34:25+00:00,home_001,2026-08-17T12:34:25.641123+00:00,100.0,92.5,
2026-08-22T14:29:09+00:00,sample_home,2026-08-22T15:29:07.778261+00:00,24.99,60.49,0
2026-08-22T14:33:16+00:00,sample_home,2026-08-22T15:33:13.701451+00:00,25.49,59.83,0
2026-08-22T14:37:10+00:00,sample_home,2026-08-22T15:37:07.128496+00:00,25.29,59.56,0
2026-08-22T14:41:30+00:00,sample_home,2026-08-22T15:41:26.639043+00:00,25.33,59.54,0
2026-08-22T14:45:34+00:00,sample_home,2026-08-22T15:45:28.278405+00:00,25.38,59.34,0
2026-08-22T16:12:36+00:00,sample_home,2026-08-22T17:12:33.881227+00:00,496.57,37.47,1
2026-08-22T16:16:16+00:00,sample_home,2026-08-22T17:16:13.300882+00:00,499.93,34.61,1
2026-08-22T16:23:19+00:00,sample_home,2026-08-22T17:23:18.046461+00:00,498.36,33.69,1
2026-08-22T16:26:12+00:00,sample_home,2026-08-22T17:26:10.419929+00:00,497.64,33.28,1
2026-08-22T16:31:34+00:00,sample_home,2026-08-22T17:31:28.013138+00:00,497.9,32.49,1
2026-08-22T16:41:49+00:00,sample_home,2026-08-22T17:41:46.299901+00:00,496.37,30.91,1
2026-08-23T18:56:22+00:00,solar_ems_001,2026-08-23T19:56:21.427096+00:00,768.0,38.64,0
2026-08-25T17:41:59+00:00,solar_ems_001,2026-08-25T18:41:58.345219+00:00,114.07,1.36,0
2026-08-25T19:23:12+00:00,solar_ems_001,2026-08-25T20:23:10.735322+00:00,114.74,0.35,0
2026-08-25T20:23:10+00:00,solar_ems_001,2026-08-25T21:23:09.984198+00:00,116.67,0.0,0
2026-08-25T23:03:13+00:00,solar_ems_001,2026-08-26T00:03:12.045048+00:00,116.47,0.0,0
2026-08-26T00:03:12+00:00,solar_ems_001,2026-08-26T01:03:12.057483+00:00,115.58,68703900910174.92,0
2026-08-26T01:03:12+00:00,solar_ems_001,2026-08-26T02:03:11.287467+00:00,115.37,0.09,0
2026-08-26T09:27:08+00:00,solar_ems_001,2026-08-26T10:27:06.619852+00:00,124.22,5.34,0
2026-08-26T10:27:06+00:00,solar_ems_001,2026-08-26T11:27:06.082282+00:00,127.89,60.04,0
2026-08-26T11:27:06+00:00,solar_ems_001,2026-08-26T12:27:06.154555+00:00,129.38,60.44,0
2026-08-26T12:27:06+00:00,solar_ems_001,2026-08-26T13:27:06.096852+00:00,130.33,25.67,0
2026-08-26T14:25:37+00:00,solar_ems_001,2026-08-26T15:25:36.090345+00:00,127.58,16.92,1
2026-08-26T15:25:35+00:00,solar_ems_001,2026-08-26T16:25:35.080454+00:00,140.61,19.76,1
2026-08-26T16:25:36+00:00,solar_ems_001,2026-08-26T17:25:36.036520+00:00,134.69,18.65,1
2026-08-26T18:32:47+00:00,solar_ems_001,2026-08-26T19:32:45.420951+00:00,134.22,6.62,1
2026-08-26T19:32:45+00:00,solar_ems_001,2026-08-26T20:32:44.571702+00:00,128.17,0.0,1
2026-08-26T20:32:45+00:00,solar_ems_001,2026-08-26T21:32:44.511956+00:00,125.83,0.0,1
2026-08-26T22:01:14+00:00,solar_ems_001,2026-08-26T23:01:11.973930+00:00,125.45,0.0,1
2026-08-26T23:01:08+00:00,solar_ems_001,2026-08-27T00:01:08.051652+00:00,124.08,0.0,1
2026-08-27T00:01:09+00:00,solar_ems_001,2026-08-27T01:01:08.351448+00:00,123.1,0.94,1
2026-08-27T01:01:11+00:00,solar_ems_001,2026-08-27T02:01:09.521611+00:00,121.29,0.0,1
2026-08-27T02:01:09+00:00,solar_ems_001,2026-08-27T03:01:08.976010+00:00,119.09,0.0,1
2026-08-27T03:01:11+00:00,solar_ems_001,2026-08-27T04:01:09.855492+00:00,119.33,0.12,1
2026-08-27T04:01:09+00:00,solar_ems_001,2026-08-27T05:01:08.344034+00:00,119.55,2.43,1
2026-08-27T05:01:10+00:00,solar_ems_001,2026-08-27T06:01:09.451900+00:00,119.92,0.0,1
2026-08-27T06:01:08+00:00,solar_ems_001,2026-08-27T07:01:07.447128+00:00,120.28,3.31,1
2026-08-27T13:33:32+00:00,solar_ems_001,2026-08-27T14:33:30.182427+00:00,120.96,10.83,1
2026-08-27T17:08:13+00:00,solar_ems_001,2026-08-27T18:08:11.991440+00:00,123.27,18.52,1
2026-08-27T19:24:34+00:00,solar_ems_001,2026-08-27T20:24:32.283865+00:00,125.83,4.29,1
2026-08-27T20:24:32+00:00,solar_ems_001,2026-08-27T21:24:31.184091+00:00,126.56,4.48,1
2026-08-27T21:24:32+00:00,solar_ems_001,2026-08-27T22:24:31.605690+00:00,127.08,1.76,1
