time,battery_type,home_id,battery_current,battery_voltage,load_current,solar_current,solar_voltage,temperature,interval_s,temperature_raw,temperature_valid,generation
2026-07-29T10:59:18+00:00,LEAD_ACID,home_001,-2.3,12.3,7.5,5.2,18.5,30.0,,,,
2026-07-29T11:04:03+00:00,LEAD_ACID,home_001,-2.17,12.26,9.3,7.13,18.45,32.5,,,,
2026-07-29T11:05:52+00:00,LEAD_ACID,home_001,-7.26,12.26,14.45,7.19,18.28,33.2,,,,
2026-07-29T11:06:01+00:00,LEAD_ACID,home_001,-6.35,12.26,13.22,6.87,18.57,29.3,,,,
2026-07-29T11:06:07+00:00,LEAD_ACID,home_001,-7.71,12.26,15.26,7.55,18.57,34.1,,,,
2026-07-29T11:06:12+00:00,LEAD_ACID,home_001,-7.54,12.26,14.35,6.81,18.26,28.2,,,,
2026-07-29T11:06:17+00:00,LEAD_ACID,home_001,-6.1,12.26,13.55,7.45,18.26,33.0,,,,
2026-07-29T11:06:23+00:00,LEAD_ACID,home_001,-8.04,12.26,14.88,6.84,18.34,26.6,,,,
2026-07-29T11:06:27+00:00,LEAD_ACID,home_001,-8.47,12.26,15.4,6.93,18.61,28.4,,,,
2026-07-29T11:06:32+00:00,LEAD_ACID,home_001,-8.08,12.26,15.64,7.56,18.45,26.6,,,,
2026-07-29T11:06:37+00:00,LEAD_ACID,home_001,-6.79,12.26,13.86,7.07,18.45,25.6,,,,
2026-07-29T11:06:42+00:00,LEAD_ACID,home_001,-3.75,12.26,11.23,7.48,18.72,28.6,,,,
2026-07-29T11:06:47+00:00,LEAD_ACID,home_001,-3.33,12.26,10.31,6.98,18.51,33.4,,,,
2026-07-29T11:06:52+00:00,LEAD_ACID,home_001,-8.75,12.26,16.23,7.48,18.55,34.8,,,,
2026-07-29T11:06:57+00:00,LEAD_ACID,home_001,-5.17,12.259,12.53,7.36,18.64,28.4,,,,
2026-07-29T11:07:02+00:00,LEAD_ACID,home_001,-1.53,12.259,8.36,6.83,18.39,30.2,,,,
2026-07-29T11:07:07+00:00,LEAD_ACID,home_001,-4.18,12.259,11.21,7.03,18.68,32.3,,,,
2026-07-29T11:07:12+00:00,LEAD_ACID,home_001,-1.04,12.259,7.99,6.95,18.37,31.2,,,,
2026-07-29T11:07:17+00:00,LEAD_ACID,home_001,-1.43,12.259,8.88,7.45,18.66,34.3,,,,
2026-07-29T11:07:22+00:00,LEAD_ACID,home_001,-6.55,12.26,13.77,7.22,18.63,25.1,,,,
2026-07-29T11:07:27+00:00,LEAD_ACID,home_001,-3.56,12.259,10.65,7.09,18.37,31.5,,,,
2026-07-29T11:07:32+00:00,LEAD_ACID,home_001,-5.98,12.259,12.93,6.95,18.4,25.5,,,,
2026-07-29T11:07:37+00:00,LEAD_ACID,home_001,-0.53,12.259,7.75,7.22,18.61,34.2,,,,
2026-07-29T11:07:49+00:00,LEAD_ACID,home_001,-3.6,12.26,10.48,6.88,18.7,33.3,,,,
2026-07-29T11:07:50+00:00,LEAD_ACID,home_001,-7.92,12.26,14.97,7.05,18.38,31.3,,,,
2026-07-29T11:07:52+00:00,LEAD_ACID,home_001,-0.23,12.259,7.71,7.48,18.25,29.8,,,,
2026-07-29T11:07:57+00:00,LEAD_ACID,home_001,-6.97,12.259,14.02,7.05,18.46,31.5,,,,
2026-07-29T11:08:02+00:00,LEAD_ACID,home_001,-9.01,12.259,15.82,6.81,18.67,29.1,,,,
2026-07-29T11:08:07+00:00,LEAD_ACID,home_001,0.35,12.259,7.08,7.43,18.7,30.2,,,,
2026-07-29T11:08:12+00:00,LEAD_ACID,home_001,-6.43,12.259,13.42,6.99,18.66,26.9,,,,
2026-07-29T11:08:17+00:00,LEAD_ACID,home_001,-2.27,12.259,9.45,7.18,18.49,25.9,,,,
2026-07-29T11:08:22+00:00,LEAD_ACID,home_001,0.19,12.259,7.12,7.31,18.72,27.7,,,,
2026-07-29T11:08:27+00:00,LEAD_ACID,home_001,-2.3,12.259,9.38,7.08,18.6,27.0,,,,
2026-07-29T11:08:32+00:00,LEAD_ACID,home_001,-0.58,12.259,7.85,7.27,18.31,33.8,,,,
2026-07-29T11:08:37+00:00,LEAD_ACID,home_001,-4.07,12.26,11.0,6.93,18.66,30.3,,,,
2026-07-29T11:08:42+00:00,LEAD_ACID,home_001,-0.19,12.26,7.1,6.91,18.48,31.0,,,,
